"Empresa";"Filial";"Area";"Dispositivo";"Modelo";"Basename";"Monitoramento";"Sensor";"Tipo Sensor";"valor";"unidade";"data";"id_filial";"id_area";"id_dispositivo";"id_monitoramento";"id_sensor"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T03:46:31.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T03:56:31.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T04:06:31.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T04:16:31.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T04:26:31.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T04:36:31.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T04:46:30.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T04:56:34.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T05:06:34.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T05:16:34.000-03:00";"166";"0";"1284";"1514";"14100"
